Size,Sleeve_Type,Color,Collar_Type,Fit,Pattern,Price,Trial_Count,Purchased
M,Full,Yellow,Round,Loose,Printed,2272,6,1
S,Half,Red,V-Neck,Slim,Checked,969,5,0
XL,Sleeveless,Red,Mandarin,Slim,Checked,2694,0,0
XL,Full,Red,Mandarin,Regular,Printed,2127,3,1
M,Sleeveless,White,V-Neck,Regular,Checked,2153,3,0
M,Half,Yellow,Round,Slim,Striped,2291,3,1
S,Full,Red,V-Neck,Regular,Solid,1174,3,1
XL,Sleeveless,White,Round,Loose,Checked,1725,8,0
M,Full,Green,V-Neck,Regular,Printed,973,2,0
S,Half,Red,Round,Regular,Solid,1029,2,0
M,Full,Yellow,V-Neck,Slim,Solid,829,3,1
L,Half,Red,Round,Slim,Checked,349,0,1
M,Half,Red,Polo,Regular,Checked,1010,0,1
L,Half,Green,V-Neck,Regular,Striped,2851,3,0
M,Full,Red,Mandarin,Regular,Solid,396,1,0
M,Sleeveless,Black,V-Neck,Regular,Checked,2728,1,0
M,Half,Black,Round,Regular,Printed,2362,9,1
XL,Full,Red,Round,Loose,Striped,504,0,0
L,Half,Red,Round,Loose,Striped,1121,0,0
S,Full,Black,V-Neck,Slim,Printed,1418,0,0
L,Half,Black,Mandarin,Regular,Striped,2018,2,1
XL,Full,Black,V-Neck,Regular,Solid,1492,4,1
L,Half,Black,V-Neck,Slim,Striped,882,1,1
M,Sleeveless,Blue,Round,Slim,Checked,469,1,0
S,Full,Yellow,Polo,Regular,Solid,2756,9,0
XL,Sleeveless,Yellow,Round,Regular,Striped,2262,5,0
M,Full,Blue,Round,Slim,Solid,1579,9,1
XL,Sleeveless,Green,Round,Loose,Solid,1438,6,0
S,Half,Black,Mandarin,Regular,Printed,1365,2,0
M,Full,Black,Round,Loose,Solid,444,0,1
M,Full,Red,Polo,Slim,Solid,2991,4,0
S,Half,Black,Mandarin,Regular,Solid,1608,3,0
S,Half,Red,Polo,Slim,Striped,1008,3,0
M,Sleeveless,Black,Round,Regular,Printed,892,2,0
L,Half,White,Round,Loose,Printed,286,0,0
M,Full,Black,Round,Slim,Solid,578,3,1
M,Full,Black,Mandarin,Slim,Checked,3000,2,0
S,Half,White,V-Neck,Regular,Striped,2312,2,1
L,Sleeveless,White,Polo,Loose,Solid,731,0,0
L,Full,Black,Round,Slim,Solid,627,1,1
M,Full,White,Mandarin,Loose,Solid,1473,5,0
S,Half,Red,V-Neck,Loose,Solid,696,4,0
S,Half,Blue,Mandarin,Slim,Solid,252,0,1
XL,Half,Black,V-Neck,Loose,Checked,1646,2,0
L,Half,Blue,Round,Loose,Solid,513,0,0
S,Full,Blue,V-Neck,Regular,Checked,1663,2,0
S,Full,Black,V-Neck,Slim,Checked,1825,7,0
M,Sleeveless,Red,Round,Regular,Solid,1558,4,1
M,Half,Yellow,Mandarin,Regular,Printed,2930,2,0
XL,Full,Blue,Polo,Slim,Printed,2346,4,0
S,Sleeveless,Blue,V-Neck,Loose,Striped,1426,3,1
M,Full,Green,Mandarin,Loose,Solid,219,2,0
M,Full,Green,Round,Regular,Striped,663,0,1
M,Half,Green,Round,Slim,Solid,628,1,1
S,Sleeveless,Green,Round,Slim,Striped,2034,1,1
XL,Sleeveless,White,Mandarin,Slim,Printed,210,3,0
L,Sleeveless,Yellow,V-Neck,Loose,Striped,1622,3,1
L,Sleeveless,Green,Round,Regular,Solid,2789,8,0
S,Full,Red,V-Neck,Loose,Solid,1821,2,0
S,Full,Black,Polo,Regular,Striped,1549,3,1
L,Full,White,Round,Slim,Striped,1001,1,1
S,Sleeveless,Black,Mandarin,Regular,Printed,1506,3,0
S,Sleeveless,Red,V-Neck,Loose,Printed,1333,2,0
XL,Sleeveless,White,Round,Loose,Checked,2309,3,0
XL,Half,White,V-Neck,Slim,Striped,1624,4,0
XL,Half,Blue,V-Neck,Slim,Checked,2509,7,0
M,Half,Black,V-Neck,Loose,Solid,3000,0,0
L,Sleeveless,Red,V-Neck,Slim,Printed,293,2,1
M,Sleeveless,Yellow,Polo,Regular,Solid,1588,1,1
S,Half,Black,Polo,Slim,Printed,783,1,0
